X..	X.logFC.	X.logCPM.	X.LR.	X.PValue.	X.FDR.	Mouse	Human	Drosophila	Aplysia clifornica	Saccoglossus kowalevskii	Cluster
PladumEVm061919	-4.21993009051983	6.18850165102868	367.712229939699	5.89273188126867e-82	2.05886159199646e-77	.	.	.	.	.	2
PladumEVm053942	-5.8702814069751	4.61449980505082	299.555500143806	4.11730607303264e-67	7.19272784428438e-63	.	.	.	.	.	8
PladumEVm026805	-3.91811908626141	4.2499069659854	260.452699924566	1.36722091308273e-58	1.59231104940658e-54	sp|Q8VIF2|PRS42_MOUSE Serine protease 42 OS=Mus musculus OX=10090 GN=Prss42 PE=1 SV=1	NP_004123.1 hyaluronan-binding protein 2 isoform 1 preproprotein [Homo sapiens]	gi|386765841|ref|NP_001247121.1| uncharacterized protein Dmel_CG43335 [Drosophila melanogaster]	XP_005103818.1 plasma kallikrein [Aplysia californica]	XP_006819257.1 PREDICTED: CUB and sushi domain-containing protein 1-like [Saccoglossus kowalevskii]	2
PladumEVm071382	-3.28441625716286	5.10792351364709	236.910910185699	1.85473911366277e-53	1.62006824730658e-49	.	.	.	.	.	6
PladumEVm098962	-3.24488310544012	3.35757420152536	216.88785339718	4.31761253408371e-49	3.01706128656702e-45	.	.	.	.	.	0
PladumEVm097343	-4.39063952247047	3.39129920427296	197.406567094096	7.68767583347295e-45	4.47666176576186e-41	.	.	.	.	.	7
PladumEVm022248	3.59160218439162	4.68642743818982	191.5972616275	1.42459302385871e-43	7.11055080865705e-40	sp|A2A7Z8|ADCL3_MOUSE Arylacetamide deacetylase-like 3 OS=Mus musculus OX=10090 GN=Aadacl3 PE=3 SV=1	NP_065843.4 neutral cholesterol ester hydrolase 1 isoform b [Homo sapiens]	gi|17737817|ref|NP_524261.1| alpha-Esterase-7 [Drosophila melanogaster]	XP_005106265.2 arylacetamide deacetylase [Aplysia californica]	XP_002734727.1 PREDICTED: neutral cholesterol ester hydrolase 1-like [Saccoglossus kowalevskii]	8
PladumEVm045311	-4.27227845091938	3.58404685765436	184.287875051657	5.6138733141061e-42	2.45178899651942e-38	.	.	.	.	.	3
PladumEVm062880	-3.84296306744871	5.94777757608854	182.086919042664	1.69736562443793e-41	6.58936195024854e-38	.	.	.	.	.	2
PladumEVm070140	-5.48242781871872	4.74582947024805	178.635095905972	9.62587888360731e-41	3.36318582314356e-37	.	.	.	.	.	2
PladumEVm051697	4.32511887343106	4.27628988203858	170.869742456282	4.7775894708226e-39	1.51749271382792e-35	sp|P61205|ARF3_MOUSE ADP-ribosylation factor 3 OS=Mus musculus OX=10090 GN=Arf3 PE=2 SV=2	XP_024304740.1 ADP-ribosylation factor 3 isoform X1 [Homo sapiens]	gi|17136866|ref|NP_476955.1| ADP ribosylation factor at 79F, isoform B [Drosophila melanogaster]	XP_012935259.1 ADP-ribosylation factor [Aplysia californica]	XP_002732532.1 PREDICTED: ADP-ribosylation factor 1-like [Saccoglossus kowalevskii]	0
PladumEVm058575	-2.61793845723386	3.21074433217159	167.534849491034	2.55624500851195e-38	7.44272036269993e-35	.	.	.	.	.	0
PladumEVm047370	-2.95954743414286	6.3300446917035	163.977516936001	1.52993592330765e-37	4.11187932495738e-34	.	.	.	XP_035829570.1 uncharacterized protein LOC118479062 isoform X13 [Aplysia californica]	XP_006821639.1 PREDICTED: enterin neuropeptides-like [Saccoglossus kowalevskii]	3
PladumEVm013553	4.41058480978873	5.04975316666997	162.750935619884	2.83552199743691e-37	7.07645021917486e-34	sp|P23927|CRYAB_MOUSE Alpha-crystallin B chain OS=Mus musculus OX=10090 GN=Cryab PE=1 SV=2	NP_001355175.1 alpha-crystallin B chain isoform 2 [Homo sapiens]	gi|17737499|ref|NP_523827.1| lethal (2) essential for life, isoform A [Drosophila melanogaster]	.	XP_002732724.1 PREDICTED: trichohyalin-like [Saccoglossus kowalevskii]	4
PladumEVm057626	-3.53938312101555	4.77666507961327	155.534942882175	1.0697778779091e-35	2.49179795175106e-32	.	.	.	.	.	3
PladumEVm085757	-6.26100663624368	2.42268366379949	154.820057758378	1.53291058435399e-35	3.3473976816715e-32	.	.	.	.	.	2
PladumEVm086471	-4.67588940681103	4.04674747730067	153.561847995597	2.88724259808107e-35	5.93396289025614e-32	.	.	.	.	.	2
PladumEVm028923	3.196865107814	4.21334752300027	146.666310941347	9.2827758478252e-34	1.8018383630398e-30	sp|Q9DC53|CPNE8_MOUSE Copine-8 OS=Mus musculus OX=10090 GN=Cpne8 PE=2 SV=3	XP_016874341.1 copine-8 isoform X1 [Homo sapiens]	.	XP_005111310.2 copine family protein 1 [Aplysia californica]	XP_002737345.1 PREDICTED: copine family protein 2-like [Saccoglossus kowalevskii]	8
PladumEVm063002	-3.65878026998277	6.01674103048847	143.632068182019	4.2759663868202e-33	7.86305208363743e-30	.	.	.	.	.	2
PladumEVm074405	-6.30959265305919	1.61870319291848	140.962623611777	1.6395141903698e-32	2.86414931486653e-29	.	.	.	.	.	2
PladumEVm092092	-5.01141376257556	3.16696636643791	138.126354088919	6.83842180758723e-32	1.13775056921567e-28	.	.	.	.	.	2
PladumEVm017982	4.97126491494121	5.11473988422588	134.41769815481	4.42697030211499e-31	7.03063251752708e-28	.	.	.	.	.	0
PladumEVm015580	5.03194835240988	5.68046181620853	130.62421817686	2.99210080207737e-30	4.54526130103396e-27	.	.	.	.	.	8
PladumEVm048398	-3.93268451815239	4.49534409249896	124.669174570692	6.01280187920029e-29	8.75338686905745e-26	.	.	.	.	.	0
PladumEVm104642	-4.95217476248073	3.65134866651517	123.736705350565	9.61977749337079e-29	1.34442162336353e-25	.	.	.	.	.	5
PladumEVm115996	-3.39293382607413	4.01446233753863	123.520919551692	1.07249539578387e-28	1.44122756281895e-25	.	.	.	.	.	2
PladumEVm062339	-6.03643174899627	3.14750217008404	120.901335505443	4.01617246784369e-28	5.19707592051818e-25	.	.	.	.	.	3
PladumEVm015436	2.34175081131617	4.72630121811875	120.173506623379	5.79627077733356e-28	7.23271088175919e-25	sp|O09158|CP3AP_MOUSE Cytochrome P450 3A25 OS=Mus musculus OX=10090 GN=Cyp3a25 PE=1 SV=1	NP_001189784.1 cytochrome P450 3A4 isoform 2 [Homo sapiens]	gi|17647305|ref|NP_523628.1| cytochrome P450-6a2 [Drosophila melanogaster]	XP_012945993.1 cytochrome P450 3A16 [Aplysia californica]	XP_006824666.1 PREDICTED: cytochrome P450 3A8-like [Saccoglossus kowalevskii]	0
PladumEVm070357	2.43045647975908	4.74353589454455	117.754339872179	1.96249542647428e-27	2.364400955365e-24	tr|Q3UW09|Q3UW09_MOUSE Serine peptidase inhibitor, Kunitz type, 3 OS=Mus musculus OX=10090 GN=Spint3 PE=2 SV=1	XP_024308830.1 tissue factor pathway inhibitor isoform X2 [Homo sapiens]	gi|281362741|ref|NP_788752.2| papilin, isoform E [Drosophila melanogaster]	XP_012946540.1 papilin [Aplysia californica]	XP_006814674.1 PREDICTED: papilin-like [Saccoglossus kowalevskii]	2
PladumEVm021990	-2.71273859717857	6.52732409394301	117.47053129841	2.26439581124927e-27	2.63719084164128e-24	.	.	.	.	.	0
PladumEVm005722	2.25129705307405	3.40469682401621	117.403423203793	2.34232275982041e-27	2.63994886791501e-24	sp|Q9JI39|ABCBA_MOUSE ATP-binding cassette sub-family B member 10, mitochondrial OS=Mus musculus OX=10090 GN=Abcb10 PE=1 SV=1	XP_011542437.1 ATP-binding cassette sub-family B member 10, mitochondrial isoform X1 [Homo sapiens]	gi|23397593|ref|NP_569844.2| CG3156 [Drosophila melanogaster]	XP_035829335.1 ABC transporter B family member 25 [Aplysia californica]	XP_006815751.1 PREDICTED: ATP-binding cassette sub-family B member 9 [Saccoglossus kowalevskii]	0
PladumEVm089920	-2.99041103399334	3.4733442924252	116.675205241333	3.3814750987691e-27	3.60966751804138e-24	.	.	.	.	.	8
PladumEVm033225	2.29409797416295	5.60786694936856	116.658927446568	3.40934280017646e-27	3.60966751804138e-24	.	.	.	.	.	8
PladumEVm061353	-2.72390518905334	7.58683244255108	114.798950337583	8.70947014012151e-27	8.95000521252074e-24	.	.	.	.	.	2
PladumEVm056579	-3.16520468371646	5.80119341762306	112.643906935992	2.58225534146941e-26	2.57775483930285e-23	.	.	.	.	.	1
PladumEVm104776	-3.46036224204818	6.07074361813889	112.573765254537	2.67524284668189e-26	2.59639749500607e-23	.	.	.	.	.	2
PladumEVm037577	2.42059013092659	1.9564576275529	105.535022665741	9.32353925578142e-25	8.80419292047964e-22	sp|Q923Z4|FER3L_MOUSE Fer3-like protein OS=Mus musculus OX=10090 GN=Ferd3l PE=1 SV=1	NP_690862.1 fer3-like protein [Homo sapiens]	gi|17737917|ref|NP_524322.1| 48 related 3 [Drosophila melanogaster]	XP_005089464.1 twist-related protein [Aplysia californica]	XP_002733196.1 PREDICTED: myoblast determination protein 1 homolog [Saccoglossus kowalevskii]	5
PladumEVm076855	-2.66301663847345	1.81988581336567	102.420709989358	4.48983226939718e-24	4.12816446474916e-21	.	.	.	.	.	1
PladumEVm040283	2.17961590185778	4.96132909642437	101.638078832767	6.66516374653177e-24	5.97113220871983e-21	sp|P97875|JDP2_MOUSE Jun dimerization protein 2 OS=Mus musculus OX=10090 GN=Jdp2 PE=1 SV=2	XP_016876461.1 jun dimerization protein 2 isoform X2 [Homo sapiens]	.	XP_012935234.1 uncharacterized protein LOC106011146 [Aplysia californica]	XP_006824836.1 PREDICTED: cyclic AMP-dependent transcription factor ATF-3-like [Saccoglossus kowalevskii]	8
